year,road_section,season,weather_station_id,wind_bin,wind_bin_lower_ms,estimated_vehicle_km,injury_accidents,serious_or_fatal_accidents
2007,1-a1,Summer,36386,0-5,0.0,491822.62204748613,0,0
2007,1-a1,Summer,36386,5-10,5.0,148610.25051414905,0,0
2007,1-a1,Summer,36386,10-15,10.0,34847.08277173604,1,0
2007,1-a1,Summer,36386,15-20,15.0,12008.116360530661,0,0
2007,1-a1,Summer,36386,20-25,20.0,1922.8683060980468,0,0
2007,1-a7,Winter,6272,0-5,0.0,143115.42167660472,0,0
2007,1-a7,Winter,6272,5-10,5.0,74003.63055769907,0,0
2007,1-a7,Winter,6272,10-15,10.0,24633.905745352513,1,0
2007,1-a7,Winter,6272,15-20,15.0,7075.696331111892,0,0
2007,1-a7,Winter,6272,20-25,20.0,218.38568923184852,0,0
2007,1-b0,Summer,36156,0-5,0.0,580379.1877285666,1,0
2007,1-b0,Summer,36156,5-10,5.0,428051.0186792668,0,0
2007,1-b0,Summer,36156,10-15,10.0,93321.57987475807,0,0
2007,1-b0,Summer,36156,15-20,15.0,10383.133717408633,0,0
2007,1-b2,Fall,36156,0-5,0.0,90516.89317808219,1,0
2007,1-b2,Fall,36156,5-10,5.0,105034.82551141552,1,0
2007,1-b2,Fall,36156,10-15,10.0,42729.88303196347,0,0
2007,1-b2,Fall,36156,15-20,15.0,10114.254228310503,0,0
2007,1-b2,Fall,36156,20-25,20.0,482.9840502283105,0,0
2007,1-b4,Winter,6045,0-5,0.0,147173.03623123383,0,0
2007,1-b4,Winter,6045,5-10,5.0,147199.5825941904,0,0
2007,1-b4,Winter,6045,10-15,10.0,111468.1780546448,1,0
2007,1-b4,Winter,6045,15-20,15.0,46987.06243313201,0,0
2007,1-b4,Winter,6045,20-25,20.0,8441.743420189818,1,1
2007,1-b4,Winter,6045,>=25,25.0,238.91726660914583,0,0
2007,1-b6,Fall,36132,0-5,0.0,195460.19176148044,0,0
2007,1-b6,Fall,36132,5-10,5.0,129821.89100982407,1,1
2007,1-b6,Fall,36132,10-15,10.0,47608.70705962988,0,0
2007,1-b6,Fall,36132,15-20,15.0,9874.398501256566,0,0
2007,1-b6,Fall,36132,20-25,20.0,2997.5852593100294,0,0
2007,1-b6,Fall,36132,>=25,25.0,132.2464084989719,0,0
2007,1-b7,Fall,36132,0-5,0.0,218682.83875942425,1,1
2007,1-b7,Fall,36132,5-10,5.0,145246.04423692028,0,0
2007,1-b7,Fall,36132,10-15,10.0,53265.10281014394,0,0
2007,1-b7,Fall,36132,15-20,15.0,11047.576879140965,0,0
2007,1-b7,Fall,36132,20-25,20.0,3353.728695453507,0,0
2007,1-b7,Fall,36132,>=25,25.0,147.9586189170665,0,0
2007,1-b7,Spring,36132,0-5,0.0,241093.14735552264,0,0
2007,1-b7,Spring,36132,5-10,5.0,142421.63062806337,1,0
2007,1-b7,Spring,36132,10-15,10.0,41486.32847942551,0,0
2007,1-b7,Spring,36132,15-20,15.0,6496.079904251682,0,0
2007,1-b7,Spring,36132,20-25,20.0,246.06363273680614,0,0
2007,1-b8,Fall,36127,0-5,0.0,214352.5761531873,0,0
