file,old_sha256,new_sha256
data/analysis/manifest.csv,321b019acf48d1b83735260d8864bf36d9c1746f7466d2ec44d4ae89ff777364,945e2047c164294536d71fd4b330966fa752539734a1ea8137b8dbe86573b34e
data/analysis/road_exposure.csv,e9b85fd56d89c0066f5a97f606233c58e232121ea967ac5a4cc0f04ed27320b3,4ea44477ee115cf12c17111ec12d9cea71ad5ef126ffbb39a5309064cbb56324
data/analysis/road_rate.csv,124d4011c3f4a2148da4b6243e9bb692bba2ceee57c4c7b83040581610855498,b52b1d7e5b7edcd069318c85503432d22c3ec4aa9eb7ab4e3e5897c7e1d33a6e
data/analysis/road_seasons.csv,f1bb5e09aea3f315f3730083bc0d053140bbdb3e1f9e33fc9b3daf74020827c5,16511087ba5f9545d22c477910a120e163f86eecfce44e21703bdb84fb383a0e
data/analysis/road_temperature.csv,d5479e93558c8a85a4f3f2c10959493bb07f3b38822ea14489a1fc0479eec915,68e66361ffea0e9e490b3569c69ef8e9f7f5b3ee0d0ba17a3fecfd81daa19b3d
data/analysis/selection_summary.csv,2b171e82d1bc4ba62e0ee98f97e03c65265a86131e8c4ea8e32fc04bb0471584,557fb417278e2a81f45cc20969043e081fe11db7dcdbce02c23948876bd2d1d0
data/processed/accidents/rate.csv,74abb1a60acac73d2416da75b7154023a54d8305eab4e4fe0e6e642d3cb177e1,9ea6664b61e27b3483595adb7b34759f9ac5f40ef9817b6c12170f1d578474ca
data/processed/traffic/road_period.csv,7819c9703221d92b15a7cb8446c91e0018ebdfea7a05448ab5d3b5c5b31267ea,05aac53a0ce8f7413bd086d13817ba4213ef0eb9dc021937bdb8b8b4dedcf5c0
data/processed/weather/road_period_frequency.csv,34563bbd24c1faee5caf8959c4a52d8555ecdf6a9a53fd0f923bfff2c0286819,f494ab7c2b4e6cacd99abf1340be479a76c1600097d4d1b897a5e6d0e0a263bb
docs/annual_traffic_provenance.md,29635c1eecc220de7484d6084f2ad0c1c022e081699a8a78c50528cba5c1e704,994e686583a1eae3f92903bce9630297006ad17c75ef0b52c2113c541a358ffa
docs/methods.md,0b692d9250df338651998e848210c76755625baa0324b4211f141ec5cce548bc,04216b9438cd56d904a34e3ab29f2069bf160d992f456681ffd9e03cae235456
docs/pipeline_summary.md,b6cfd85e36ce4214e036735f914c358a5466afdd81b939f9ae6e0eee5160ec4b,40ad7b1627b742e3ee1da784c242735cc42ae32ee9fb84858bf4ecdfe99a5e0a
reports/main/figures/season_rate.png,f384c8c86e304b22462ba7d5ba841c865478b9c1fdd80af1509d5a4a9a4104c3,bc03af16ab14a49f168da3586ecc171bd13f95f6e831cae2088c3ba2da46c389
reports/main/figures/season_rate_severity.png,c8366065521f78a911abf7e6353c9fe417b037cd9a83edacf25dcd2a8f7876d5,0b99b44a5e245d324ca5a3e019abd4b04559a6e1ba987e2b843d6cd005b12b8e
reports/main/figures/temperature_rate.png,e3d891e1b14938ed84c8b045f98920bc5322b9fca0ccdbab1be4a904ba86154f,0dd53d86c8b642e19e417d9baf0ccbd58c95ed47d3765ce375b8abb97472e3a3
reports/main/figures/traffic_flow.pdf,12e8a593300d8193c928e4cf16a992a8585e336be711c227d4c50b3707ac45fe,6d4ae14178a68eea83c6b0384672d09aa82613d00c1b18cd81140d35646a41a1
reports/main/figures/traffic_flow.png,517ea4637c5f4628a19f42a44df6348bb8bfdc1a0ede801ddebcaa31cdc83403,c6ac3b8b63f1866994ad2d7d96590c986c5024629736867606d56082b9c3b1ac
reports/main/figures/wind_oe_comparison.png,c1070e2dad4dae586284b0e74dc513cb0c16729bf33a35d15f31b55300f8fcee,8b6fc6829e38dac203be9c0359e4319bca129cbaef1e1c27b3b1988ec4c464c5
reports/main/figures/wind_rate.png,e1deae49ce2d16b6f12d049692ae5910760a433369945a235121da7ae433fa73,2f83b68eb25bfaa4e438529aaaea17815cf8526bd5aa9db4e5434dea3b314400
reports/main/figures/wind_rate_severity.png,07de3af9727ef6d9e671134c3429ec4bc5dd6429ab29b1accd828e601eec57ab,59f560a94d4ed51b127045e9c86580286e1fda3264b4bd40b2e25afe7ab1c934
reports/main/figures/wind_rate_vehicle.png,63877fb8041560a0ab34d4b456af8a926a0579d1d6eff1ff8b9d01d5ad9b8350,e13f50480d6f0d44dd25039d3c6c42c9fcdbfe0ba7ff082c90145a32bb8e747d
reports/main/tables/absolute_rate.csv,420a857f91a8ec83b9c9bda219736969dd0c0760c8496c3701f5b6bc34f582cb,3b6b00c2e0786bfa08c2f36d1a53dacebadd6dbf42e243440259e7867a686c8e
reports/main/tables/allocation_check.csv,1922f76b6c2360acf1229e6bfbfb2951bd8d5aa61fb48da1e02c8795e4480876,280db2b9a82802eb45d23e5d5d7c8ad73d93a7cc97090a81f387eb34c2de27a9
reports/main/tables/season_rate.csv,6378096c0581a51ba5493009d9ccb0bca7f6519771b152c4921a960ad61ab327,99c4e5b370727b38226aabdc098e1d50373f09f131b9d74b47c5a15778460d19
reports/main/tables/season_rate_severity.csv,cacb3a17cd23950bdd137ae64665dc0c9803149cd79ecf42cbea9cb3d5870a72,24a1db4b275bae6a87f96b3381f0e258822d0f24531c337b66924a1efa5cdf8d
