weather_station_id,year,traffic_period,variable,bin_label,bin_lower_ms,bin_upper_ms,measurement_count,total_measurements_in_period,frequency_pct
1350,2011,SDU,f_5m,0-5,0.0,5.0,7849,17425,45.044476327116215
1350,2011,SDU,f_5m,5-10,5.0,10.0,7465,17425,42.84074605451937
1350,2011,SDU,f_5m,10-15,10.0,15.0,1947,17425,11.173601147776184
1350,2011,SDU,f_5m,15-20,15.0,20.0,162,17425,0.9296987087517934
1350,2011,SDU,f_5m,20-25,20.0,25.0,2,17425,0.011477761836441894
1350,2011,VDU,f_5m,0-5,0.0,5.0,1422,4464,31.85483870967742
1350,2011,VDU,f_5m,5-10,5.0,10.0,1884,4464,42.204301075268816
1350,2011,VDU,f_5m,10-15,10.0,15.0,1042,4464,23.342293906810035
1350,2011,VDU,f_5m,15-20,15.0,20.0,96,4464,2.150537634408602
1350,2011,VDU,f_5m,20-25,20.0,25.0,19,4464,0.42562724014336917
1350,2011,VDU,f_5m,>=25,25.0,inf,1,4464,0.022401433691756272
1350,2011,VHDU,f_5m,0-5,0.0,5.0,2343,8782,26.67957185151446
1350,2011,VHDU,f_5m,5-10,5.0,10.0,3929,8782,44.7392393532225
1350,2011,VHDU,f_5m,10-15,10.0,15.0,2079,8782,23.673422910498747
1350,2011,VHDU,f_5m,15-20,15.0,20.0,422,8782,4.805283534502391
1350,2011,VHDU,f_5m,20-25,20.0,25.0,9,8782,0.10248235026189934
1350,2012,SDU,f_5m,0-5,0.0,5.0,9105,17560,51.8507972665148
1350,2012,SDU,f_5m,5-10,5.0,10.0,6916,17560,39.38496583143508
1350,2012,SDU,f_5m,10-15,10.0,15.0,1434,17560,8.166287015945331
1350,2012,SDU,f_5m,15-20,15.0,20.0,105,17560,0.5979498861047836
1350,2012,VDU,f_5m,0-5,0.0,5.0,4449,17564,25.330220906399454
1350,2012,VDU,f_5m,5-10,5.0,10.0,7553,17564,43.00273286267365
1350,2012,VDU,f_5m,10-15,10.0,15.0,4311,17564,24.54452288772489
1350,2012,VDU,f_5m,15-20,15.0,20.0,1129,17564,6.427920746982464
1350,2012,VDU,f_5m,20-25,20.0,25.0,122,17564,0.69460259621954
1350,2012,VHDU,f_5m,0-5,0.0,5.0,7582,17565,43.165385710219184
1350,2012,VHDU,f_5m,5-10,5.0,10.0,6898,17565,39.2712781098776
1350,2012,VHDU,f_5m,10-15,10.0,15.0,2425,17565,13.805863933959579
1350,2012,VHDU,f_5m,15-20,15.0,20.0,655,17565,3.7290065471107314
1350,2012,VHDU,f_5m,20-25,20.0,25.0,5,17565,0.02846569883290635
1350,2013,SDU,f_5m,0-5,0.0,5.0,7130,17568,40.5851548269581
1350,2013,SDU,f_5m,5-10,5.0,10.0,7931,17568,45.1445810564663
1350,2013,SDU,f_5m,10-15,10.0,15.0,2166,17568,12.329234972677595
1350,2013,SDU,f_5m,15-20,15.0,20.0,337,17568,1.9182604735883424
1350,2013,SDU,f_5m,20-25,20.0,25.0,4,17568,0.022768670309653915
1350,2013,VDU,f_5m,0-5,0.0,5.0,4983,17424,28.598484848484848
1350,2013,VDU,f_5m,5-10,5.0,10.0,7754,17424,44.50183654729109
1350,2013,VDU,f_5m,10-15,10.0,15.0,3930,17424,22.55509641873278
1350,2013,VDU,f_5m,15-20,15.0,20.0,756,17424,4.338842975206612
1350,2013,VDU,f_5m,20-25,20.0,25.0,1,17424,0.00573921028466483
1350,2013,VHDU,f_5m,0-5,0.0,5.0,6156,17568,35.040983606557376
1350,2013,VHDU,f_5m,5-10,5.0,10.0,7507,17568,42.73110200364299
1350,2013,VHDU,f_5m,10-15,10.0,15.0,3505,17568,19.951047358834245
1350,2013,VHDU,f_5m,15-20,15.0,20.0,369,17568,2.1004098360655736
1350,2013,VHDU,f_5m,20-25,20.0,25.0,31,17568,0.17645719489981784
1350,2014,SDU,f_5m,0-5,0.0,5.0,7721,17568,43.94922586520947
1350,2014,SDU,f_5m,5-10,5.0,10.0,7735,17568,44.02891621129326
1350,2014,SDU,f_5m,10-15,10.0,15.0,1960,17568,11.156648451730419
1350,2014,SDU,f_5m,15-20,15.0,20.0,148,17568,0.8424408014571949
1350,2014,SDU,f_5m,20-25,20.0,25.0,4,17568,0.022768670309653915
1350,2014,VDU,f_5m,0-5,0.0,5.0,5113,17424,29.344582185491277
1350,2014,VDU,f_5m,5-10,5.0,10.0,7474,17424,42.894857667584944
1350,2014,VDU,f_5m,10-15,10.0,15.0,4054,17424,23.266758494031222
1350,2014,VDU,f_5m,15-20,15.0,20.0,703,17424,4.034664830119375
1350,2014,VDU,f_5m,20-25,20.0,25.0,79,17424,0.45339761248852156
1350,2014,VDU,f_5m,>=25,25.0,inf,1,17424,0.00573921028466483
1350,2014,VHDU,f_5m,0-5,0.0,5.0,6226,17568,35.439435336976324
1350,2014,VHDU,f_5m,5-10,5.0,10.0,8314,17568,47.32468123861567
1350,2014,VHDU,f_5m,10-15,10.0,15.0,2705,17568,15.39731329690346
